First Browser,Following Browser,Average Delay (Days)
chrome_android,firefox_android,1093
chrome_android,opera,989.7222222
chrome_android,samsunginternet_android,298.9
chrome_android,safari,1617.236842
chrome_android,ie,3644.513274
chrome_android,firefox,1435.378238
chrome_android,webview_ios,944.125
chrome_android,opera_android,142.4375
chrome_android,safari_ios,1210.902439
chrome_android,webview_android,271.0338983
chrome_android,deno,7
chrome_android,edge,706.2051282
firefox_android,opera,1466.4375
firefox_android,samsunginternet_android,775.2
firefox_android,safari,1564.435484
firefox_android,ie,3498.724771
firefox_android,webview_ios,1258.6
firefox_android,opera_android,669.2857143
firefox_android,safari_ios,1362.371429
firefox_android,webview_android,757
opera,samsunginternet_android,1809.8
opera,safari,1418.525
opera,webview_ios,1308.909091
opera,opera_android,1238.111111
opera,safari_ios,1388.022727
opera,webview_android,712.95
samsunginternet_android,webview_android,508.673913
chrome,safari,949.4370629
chrome,ie,2264.264901
chrome,firefox,809.0546318
chrome,webview_ios,1035.724138
chrome,opera_android,217.8395062
chrome,oculus,55.36842105
chrome,safari_ios,1022.670683
chrome,webview_android,290.7092732
chrome,deno,1168.323077
chrome,edge,740.1899563
chrome,nodejs,2463.870968
safari,webview_ios,568.9868421
safari,safari_ios,506.8761905
safari,webview_android,2069.311321
ie,webview_ios,2591.2
ie,opera_android,3661.6
ie,safari_ios,2454
ie,webview_android,4240.731481
ie,nodejs,4547.125
firefox,webview_ios,1149.237288
firefox,opera_android,1534.475676
firefox,oculus,779.5
firefox,safari_ios,1186.377358
firefox,webview_android,1557.941489
firefox,nodejs,2536.8
opera_android,safari_ios,1549.482759
opera_android,webview_android,440.2291667
oculus,webview_android,55
safari_ios,webview_android,1716.123077
deno,edge,9
