Feature,First Browser,Following Browser,Delay (Days)
ANGLE_instanced_arrays,chrome_android,ie,15
ANGLE_instanced_arrays,chrome_android,opera_android,49
ANGLE_instanced_arrays,chrome_android,webview_android,68
ANGLE_instanced_arrays,chrome_android,chrome,104
ANGLE_instanced_arrays,chrome_android,opera,118
ANGLE_instanced_arrays,chrome_android,safari_ios,350
ANGLE_instanced_arrays,chrome_android,webview_ios,350
ANGLE_instanced_arrays,chrome_android,safari,379
ANGLE_instanced_arrays,chrome_android,samsunginternet_android,380
ANGLE_instanced_arrays,chrome_android,edge,665
ANGLE_instanced_arrays,chrome_android,firefox,979
ANGLE_instanced_arrays,chrome_android,firefox_android,979
AbortController,webview_android,edge,183
AbortController,webview_android,firefox,211
AbortController,webview_android,firefox_android,225
AbortController,webview_android,chrome,365
AbortController,webview_android,chrome_android,365
AbortController,webview_android,opera,388
AbortController,webview_android,opera_android,462
AbortController,webview_android,samsunginternet_android,516
AbortController,webview_android,safari,707
AbortController,webview_android,safari_ios,707
AbortController,webview_android,webview_ios,707
AbortController,webview_android,deno,1122
AbortController,webview_android,nodejs,1485
AbortPaymentEvent,chrome,chrome_android,1
AbortPaymentEvent,chrome,opera,43
AbortPaymentEvent,chrome,opera_android,52
AbortPaymentEvent,chrome,samsunginternet_android,310
AbortPaymentEvent,chrome,edge,456
AbortSignal,webview_android,edge,183
AbortSignal,webview_android,firefox,211
AbortSignal,webview_android,firefox_android,225
AbortSignal,webview_android,safari_ios,346
AbortSignal,webview_android,webview_ios,346
AbortSignal,webview_android,safari,360
AbortSignal,webview_android,chrome,365
AbortSignal,webview_android,chrome_android,365
AbortSignal,webview_android,opera,388
AbortSignal,webview_android,opera_android,462
AbortSignal,webview_android,samsunginternet_android,516
AbortSignal,webview_android,deno,1122
AbortSignal,webview_android,nodejs,1485
AbsoluteOrientationSensor,chrome,chrome_android,2
AbsoluteOrientationSensor,chrome,webview_android,2
AbsoluteOrientationSensor,chrome,opera,30
AbsoluteOrientationSensor,chrome,samsunginternet_android,109
AbsoluteOrientationSensor,chrome,opera_android,163
AbsoluteOrientationSensor,chrome,edge,596
AbstractRange,firefox,firefox_android,329
AbstractRange,firefox,chrome,588
AbstractRange,firefox,chrome_android,588
AbstractRange,firefox,webview_android,588
AbstractRange,firefox,edge,590
AbstractRange,firefox,safari,601
AbstractRange,firefox,safari_ios,601
AbstractRange,firefox,webview_ios,601
AbstractRange,firefox,opera,603
AbstractRange,firefox,opera_android,630
AbstractRange,firefox,oculus,650
AbstractRange,firefox,samsunginternet_android,710
Accelerometer,chrome,chrome_android,2
Accelerometer,chrome,webview_android,2
Accelerometer,chrome,opera,30
Accelerometer,chrome,samsunginternet_android,109
Accelerometer,chrome,opera_android,163
Accelerometer,chrome,edge,596
AmbientLightSensor,chrome,chrome_android,2
AmbientLightSensor,chrome,opera,30
AmbientLightSensor,chrome,edge,596
AnalyserNode,chrome,chrome_android,285
AnalyserNode,chrome,safari,313
AnalyserNode,chrome,safari_ios,360
AnalyserNode,chrome,webview_ios,360
AnalyserNode,chrome,samsunginternet_android,589
AnalyserNode,chrome,opera_android,613
AnalyserNode,chrome,opera,655
AnalyserNode,chrome,firefox,774
AnalyserNode,chrome,firefox_android,774
AnalyserNode,chrome,webview_android,990
AnalyserNode,chrome,edge,1412
Animation,firefox,firefox_android,0
Animation,firefox,chrome,1036
Animation,firefox,chrome_android,1036
Animation,firefox,webview_android,1036
Animation,firefox,opera,1059
Animation,firefox,opera_android,1172
Animation,firefox,samsunginternet_android,1220
Animation,firefox,edge,1261
Animation,firefox,safari,1330
Animation,firefox,safari_ios,1330
Animation,firefox,webview_ios,1330
AnimationEffect,firefox,firefox_android,0
AnimationEffect,firefox,chrome,224
AnimationEffect,firefox,chrome_android,224
AnimationEffect,firefox,webview_android,224
AnimationEffect,firefox,opera,247
AnimationEffect,firefox,opera_android,360
AnimationEffect,firefox,samsunginternet_android,408
AnimationEffect,firefox,edge,449
AnimationEffect,firefox,safari,518
AnimationEffect,firefox,safari_ios,518
AnimationEffect,firefox,webview_ios,518
AnimationEvent,firefox,firefox_android,0
AnimationEvent,firefox,ie,493
AnimationEvent,firefox,chrome,1428
AnimationEvent,firefox,chrome_android,1436
AnimationEvent,firefox,webview_android,1436
AnimationEvent,firefox,opera,1449
AnimationEvent,firefox,opera_android,1450
AnimationEvent,firefox,edge,1499
AnimationEvent,firefox,safari_ios,1548
AnimationEvent,firefox,webview_ios,1548
AnimationEvent,firefox,safari,1562
AnimationEvent,firefox,samsunginternet_android,1725
AnimationPlaybackEvent,firefox,firefox_android,0
AnimationPlaybackEvent,firefox,safari,518
AnimationPlaybackEvent,firefox,safari_ios,518
AnimationPlaybackEvent,firefox,webview_ios,518
AnimationPlaybackEvent,firefox,edge,632
AnimationPlaybackEvent,firefox,chrome,643
AnimationPlaybackEvent,firefox,chrome_android,643
AnimationPlaybackEvent,firefox,opera,643
AnimationPlaybackEvent,firefox,webview_android,643
AnimationPlaybackEvent,firefox,opera_android,701
AnimationPlaybackEvent,firefox,samsunginternet_android,907
AnimationTimeline,safari,safari_ios,0
AnimationTimeline,safari,webview_ios,0
AnimationTimeline,safari,firefox,14
AnimationTimeline,safari,edge,114
AnimationTimeline,safari,chrome,125
AnimationTimeline,safari,chrome_android,125
AnimationTimeline,safari,opera,125
AnimationTimeline,safari,webview_android,125
AnimationTimeline,safari,firefox_android,126
AnimationTimeline,safari,opera_android,183
AnimationTimeline,safari,samsunginternet_android,389
Attr,ie,safari,1082
Attr,ie,firefox,1587
Attr,ie,opera,1748
Attr,ie,safari_ios,2549
Attr,ie,webview_ios,2549
Attr,ie,chrome,3080
Attr,ie,opera_android,3778
Attr,ie,firefox_android,3918
Attr,ie,chrome_android,4374
Attr,ie,samsunginternet_android,4678
Attr,ie,webview_android,4904
Attr,ie,edge,5501
AudioBuffer,chrome,chrome_android,285
AudioBuffer,chrome,safari,313
AudioBuffer,chrome,safari_ios,360
AudioBuffer,chrome,webview_ios,360
AudioBuffer,chrome,samsunginternet_android,589
AudioBuffer,chrome,opera_android,613
AudioBuffer,chrome,opera,655
AudioBuffer,chrome,firefox,774
AudioBuffer,chrome,firefox_android,774
AudioBuffer,chrome,webview_android,990
AudioBuffer,chrome,edge,1412
AudioBufferSourceNode,chrome,chrome_android,285
AudioBufferSourceNode,chrome,safari,313
AudioBufferSourceNode,chrome,safari_ios,360
AudioBufferSourceNode,chrome,webview_ios,360
AudioBufferSourceNode,chrome,samsunginternet_android,589
AudioBufferSourceNode,chrome,opera_android,613
AudioBufferSourceNode,chrome,opera,655
AudioBufferSourceNode,chrome,firefox,774
AudioBufferSourceNode,chrome,firefox_android,774
AudioBufferSourceNode,chrome,webview_android,990
AudioBufferSourceNode,chrome,edge,1412
AudioContext,firefox,firefox_android,0
AudioContext,firefox,chrome,203
AudioContext,firefox,chrome_android,203
AudioContext,firefox,opera,217
AudioContext,firefox,opera_android,231
AudioContext,firefox,webview_android,309
AudioContext,firefox,samsunginternet_android,528
AudioContext,firefox,edge,638
AudioContext,firefox,safari,2736
AudioContext,firefox,safari_ios,2736
AudioContext,firefox,webview_ios,2736
AudioData,chrome,chrome_android,0
AudioData,chrome,webview_android,0
AudioData,chrome,edge,3
AudioData,chrome,opera,14
AudioData,chrome,oculus,70
AudioData,chrome,opera_android,85
AudioData,chrome,samsunginternet_android,225
AudioData,chrome,firefox,1078
AudioDecoder,chrome,chrome_android,0
AudioDecoder,chrome,webview_android,0
AudioDecoder,chrome,edge,3
AudioDecoder,chrome,opera,14
AudioDecoder,chrome,oculus,70
AudioDecoder,chrome,opera_android,85
AudioDecoder,chrome,samsunginternet_android,225
AudioDecoder,chrome,firefox,1078
AudioDestinationNode,chrome,chrome_android,285
AudioDestinationNode,chrome,safari,313
AudioDestinationNode,chrome,safari_ios,360
AudioDestinationNode,chrome,webview_ios,360
AudioDestinationNode,chrome,samsunginternet_android,589
AudioDestinationNode,chrome,opera_android,613
AudioDestinationNode,chrome,opera,655
AudioDestinationNode,chrome,firefox,774
AudioDestinationNode,chrome,firefox_android,774
AudioDestinationNode,chrome,webview_android,990
AudioDestinationNode,chrome,edge,1412
AudioEncoder,chrome,chrome_android,0
AudioEncoder,chrome,webview_android,0
AudioEncoder,chrome,edge,3
AudioEncoder,chrome,opera,14
AudioEncoder,chrome,oculus,70
AudioEncoder,chrome,opera_android,85
AudioEncoder,chrome,samsunginternet_android,225
AudioEncoder,chrome,firefox,1078
AudioListener,chrome,chrome_android,285
AudioListener,chrome,safari,313
AudioListener,chrome,safari_ios,360
AudioListener,chrome,webview_ios,360
AudioListener,chrome,samsunginternet_android,589
AudioListener,chrome,opera_android,613
AudioListener,chrome,opera,655
AudioListener,chrome,firefox,774
AudioListener,chrome,firefox_android,774
AudioListener,chrome,webview_android,990
AudioListener,chrome,edge,1412
AudioNode,chrome,chrome_android,285
AudioNode,chrome,safari,313
AudioNode,chrome,safari_ios,360
AudioNode,chrome,webview_ios,360
AudioNode,chrome,samsunginternet_android,589
AudioNode,chrome,opera_android,613
AudioNode,chrome,opera,655
AudioNode,chrome,firefox,774
AudioNode,chrome,firefox_android,774
AudioNode,chrome,webview_android,990
AudioNode,chrome,edge,1412
AudioParam,chrome,chrome_android,285
AudioParam,chrome,safari,313
AudioParam,chrome,safari_ios,360
AudioParam,chrome,webview_ios,360
AudioParam,chrome,samsunginternet_android,589
AudioParam,chrome,opera_android,613
AudioParam,chrome,opera,655
AudioParam,chrome,firefox,774
AudioParam,chrome,firefox_android,774
AudioParam,chrome,webview_android,1083
AudioParam,chrome,edge,1412
AudioParamMap,webview_android,chrome,365
AudioParamMap,webview_android,chrome_android,365
AudioParamMap,webview_android,opera,388
AudioParamMap,webview_android,opera_android,462
AudioParamMap,webview_android,samsunginternet_android,516
AudioParamMap,webview_android,edge,1003
AudioParamMap,webview_android,firefox,1114
AudioParamMap,webview_android,firefox_android,1198
AudioParamMap,webview_android,safari,1470
AudioParamMap,webview_android,safari_ios,1470
AudioParamMap,webview_android,webview_ios,1470
AudioProcessingEvent,chrome,chrome_android,285
AudioProcessingEvent,chrome,safari,313
AudioProcessingEvent,chrome,safari_ios,360
AudioProcessingEvent,chrome,webview_ios,360
AudioProcessingEvent,chrome,samsunginternet_android,589
AudioProcessingEvent,chrome,opera_android,613
AudioProcessingEvent,chrome,opera,655
AudioProcessingEvent,chrome,firefox,774
AudioProcessingEvent,chrome,firefox_android,774
AudioProcessingEvent,chrome,webview_android,815
AudioProcessingEvent,chrome,edge,1412
AudioScheduledSourceNode,chrome,chrome_android,7
AudioScheduledSourceNode,chrome,webview_android,7
AudioScheduledSourceNode,chrome,opera,12
AudioScheduledSourceNode,chrome,firefox,41
AudioScheduledSourceNode,chrome,firefox_android,41
AudioScheduledSourceNode,chrome,opera_android,202
AudioScheduledSourceNode,chrome,samsunginternet_android,372
AudioScheduledSourceNode,chrome,edge,1042
AudioScheduledSourceNode,chrome,safari,1287
AudioScheduledSourceNode,chrome,safari_ios,1287
AudioScheduledSourceNode,chrome,webview_ios,1287
AudioSession,safari,safari_ios,0
AudioSession,safari,webview_ios,0
AudioSinkInfo,chrome,chrome_android,0
AudioSinkInfo,chrome,webview_android,0
AudioSinkInfo,chrome,edge,2
AudioSinkInfo,chrome,opera,15
AudioSinkInfo,chrome,opera_android,34
AudioSinkInfo,chrome,samsunginternet_android,101
AudioTrack,ie,chrome,669
AudioTrack,ie,opera,676
AudioTrack,ie,chrome_android,677
AudioTrack,ie,safari_ios,691
AudioTrack,ie,webview_ios,691
AudioTrack,ie,firefox,718
AudioTrack,ie,safari,720
AudioTrack,ie,edge,2637
AudioTrackList,ie,safari_ios,327
AudioTrackList,ie,webview_ios,327
AudioTrackList,ie,safari,361
AudioTrackList,ie,chrome,669
AudioTrackList,ie,opera,676
AudioTrackList,ie,chrome_android,677
AudioTrackList,ie,firefox,718
AudioTrackList,ie,edge,2637
AudioWorklet,webview_android,chrome,365
AudioWorklet,webview_android,chrome_android,365
AudioWorklet,webview_android,opera,388
AudioWorklet,webview_android,opera_android,462
AudioWorklet,webview_android,samsunginternet_android,516
AudioWorklet,webview_android,edge,1003
AudioWorklet,webview_android,firefox,1114
AudioWorklet,webview_android,firefox_android,1198
AudioWorklet,webview_android,safari,1470
AudioWorklet,webview_android,safari_ios,1470
AudioWorklet,webview_android,webview_ios,1470
AudioWorkletGlobalScope,webview_android,chrome,365
AudioWorkletGlobalScope,webview_android,chrome_android,365
AudioWorkletGlobalScope,webview_android,opera,388
AudioWorkletGlobalScope,webview_android,opera_android,462
AudioWorkletGlobalScope,webview_android,samsunginternet_android,516
AudioWorkletGlobalScope,webview_android,edge,1003
AudioWorkletGlobalScope,webview_android,firefox,1114
AudioWorkletGlobalScope,webview_android,firefox_android,1198
AudioWorkletGlobalScope,webview_android,safari,1470
AudioWorkletGlobalScope,webview_android,safari_ios,1470
AudioWorkletGlobalScope,webview_android,webview_ios,1470
AudioWorkletNode,webview_android,chrome,365
AudioWorkletNode,webview_android,chrome_android,365
AudioWorkletNode,webview_android,opera,388
AudioWorkletNode,webview_android,opera_android,462
AudioWorkletNode,webview_android,samsunginternet_android,516
AudioWorkletNode,webview_android,edge,1003
AudioWorkletNode,webview_android,firefox,1114
AudioWorkletNode,webview_android,firefox_android,1198
AudioWorkletNode,webview_android,safari,1470
AudioWorkletNode,webview_android,safari_ios,1470
AudioWorkletNode,webview_android,webview_ios,1470
AudioWorkletProcessor,chrome,chrome_android,0
AudioWorkletProcessor,chrome,webview_android,0
AudioWorkletProcessor,chrome,opera,15
AudioWorkletProcessor,chrome,opera_android,181
AudioWorkletProcessor,chrome,samsunginternet_android,235
AudioWorkletProcessor,chrome,edge,722
AudioWorkletProcessor,chrome,firefox,833
AudioWorkletProcessor,chrome,firefox_android,917
AudioWorkletProcessor,chrome,safari,1189
AudioWorkletProcessor,chrome,safari_ios,1189
AudioWorkletProcessor,chrome,webview_ios,1189
AuthenticatorAssertionResponse,firefox,chrome,20
AuthenticatorAssertionResponse,firefox,opera,50
AuthenticatorAssertionResponse,firefox,edge,146
AuthenticatorAssertionResponse,firefox,chrome_android,161
AuthenticatorAssertionResponse,firefox,opera_android,183
AuthenticatorAssertionResponse,firefox,samsunginternet_android,470
AuthenticatorAssertionResponse,firefox,safari,498
AuthenticatorAssertionResponse,firefox,safari_ios,498
